# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles:P'
# Event count (approx.): 4282229267
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  ...............................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.44%  [.] Scene::drawBackground(QPainter*, QRectF const&)                                                                                                                                                                                                                                                                                                              -      -
     0.05%  [.] ComponentGraphicsItem::boundingRect() const                                                                                                                                                                                                                                                                                                                  -      -
     0.02%  [.] Scene::designModeMouseMoveEvent(QGraphicsSceneMouseEvent*)                                                                                                                                                                                                                                                                                                   -      -
     0.02%  [.] ComponentGraphicsItem::paint(QPainter*, QStyleOptionGraphicsItem const*, QWidget*)                                                                                                                                                                                                                                                                           -      -
     0.02%  [.] MainWindow::metaObject() const                                                                                                                                                                                                                                                                                                                               -      -
     0.02%  [.] LightBulbItem::paint(QPainter*, QStyleOptionGraphicsItem const*, QWidget*)                                                                                                                                                                                                                                                                                   -      -
     0.02%  [.] QVector<QPointF>::realloc(int, QFlags<QArrayData::AllocationOption>)                                                                                                                                                                                                                                                                                         -      -
     0.02%  [.] Scene::mouseMoveEvent(QGraphicsSceneMouseEvent*)                                                                                                                                                                                                                                                                                                             -      -
     0.02%  [.] QPainter::setBrush(QBrush const&)@plt                                                                                                                                                                                                                                                                                                                        -      -
     0.01%  [.] Scene::drawForeground(QPainter*, QRectF const&)                                                                                                                                                                                                                                                                                                              -      -
     0.01%  [.] Component::getInput(unsigned int)                                                                                                                                                                                                                                                                                                                            -      -
     0.01%  [.] QGraphicsSceneDragDropEvent::mimeData() const@plt                                                                                                                                                                                                                                                                                                            -      -
     0.01%  [.] QRectF::contains(QPointF const&) const@plt                                                                                                                                                                                                                                                                                                                   -      -
     0.01%  [.] ConnectionPoint::hasFocus() const                                                                                                                                                                                                                                                                                                                            -      -
     0.01%  [.] std::_Function_handler<bool (ComponentGraphicsItem*), MiscUtils::overlapsAnyItem(Scene*, QRectF const&, std::vector<std::function<bool (ComponentGraphicsItem*)>, std::allocator<std::function<bool (ComponentGraphicsItem*)> > > const&)::{lambda(ComponentGraphicsItem*)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)  -      -
     0.01%  [.] ColorUtil::forState(Signal::State)                                                                                                                                                                                                                                                                                                                           -      -
     0.01%  [.] Component::getOutput(unsigned int)                                                                                                                                                                                                                                                                                                                           -      -
     0.01%  [.] PinItem::paint(QPainter*, QStyleOptionGraphicsItem const*, QWidget*)                                                                                                                                                                                                                                                                                         -      -
     0.00%  [.] Scene::dragMoveEvent(QGraphicsSceneDragDropEvent*)                                                                                                                                                                                                                                                                                                           -      -


#
# (Cannot load tips.txt file, please install perf!)
#
